Variable,precrisisPO,POAutumn2019,precrisisPOextrapolation,realGDPAutumn2019,hysteresisPO
1999,1327.736696,1378.66991,,1375.083758,
2000,1349.117509,1400.437817,,1427.157742,
2001,1370.232822,1420.251048,,1455.00715,
2002,1390.360014,1436.481565,,1458.701608,
2003,1407.981119,1450.582052,,1460.724191,
2004,1427.015144,1467.25697,,1481.519058,
2005,1444.913292,1477.651825,,1493.635643,
2006,1466.122107,1488.240943,,1520.381356,
2007,1489.458384,1500.426295,,1542.989928,
2008,1511.812311,1504.478337,,1528.146767,
2009,1537.173312,1500.748636,1537.173312,1447.446318,1537.173312
2010,,1497.887107,1559.855332,1472.24509,1544.859179
2011,,1499.898515,1582.87204,1482.658856,1552.583474
2012,,1484.788885,1606.228376,1438.462028,1560.346392
2013,,1481.878361,1629.929349,1411.979346,1568.148124
2014,,1479.515386,1653.980047,1411.914878,1575.988864
2015,,1475.723795,1678.385628,1422.9037,1583.868809
2016,,1471.020194,1703.15133,1441.112101,1591.788153
2017,,1472.044809,1728.282467,1465.843827,1599.747094
2018,,1474.170541,1753.78443,1477.19453,1607.745829
2019,,1481.144282,1779.662692,1478.740908,1615.784558
