forecast,Autumn 2007,Spring 2010,Spring 2013,Autumn 2019
1995,84.04786777,87.19159522,85.57829908,86.21360243
1996,85.2644028,88.57588172,86.81461663,87.46961407
1997,86.47419524,90.01632896,88.11029014,88.81481871
1998,87.8622402,91.58994827,89.48017587,90.23075618
1999,89.14224864,92.94291895,90.86595435,91.51515855
2000,90.57772433,94.261618,92.45985872,92.94321992
2001,91.99537474,95.37460735,93.95495166,94.26375028
2002,93.3466842,96.36409099,95.23044829,95.37847894
2003,94.52973874,97.31858401,96.32974272,96.38403153
2004,95.8076546,98.31557706,97.56758045,97.57692587
2005,97.00930939,98.86456233,98.33485466,98.36516212
2006,98.43323739,99.3577064,99.12313493,99.15534799
2007,100,100,100,100
2008,101.5008091,100.3757897,100.2504835,100.2539927
2009,103.2035086,100.4444128,99.94534277,99.95601283
2010,,100.6858322,99.77501398,99.65084386
2011,,101.3081539,99.96545055,99.67338581
2012,,,99.13640192,98.62859803
2013,,,98.74053431,98.42297911
2014,,,98.58872403,98.29869392
2015,,,,98.10848881
2016,,,,97.85498355
2017,,,,98.04537144
2018,,,,98.49943888
2019,,,,98.77140414
2020,,,,99.2582488
