"","iso3c","year","realGDP2019","potentialoutput2019","outputgap2019","NAWRU2019","fiscalbalance2019","primarybalance2019","CAB2019","oneoffeffects2019","structuralbalance2019","realGDP2020","potentialoutput2020","outputgap2020","NAWRU2020","fiscalbalance2020","primarybalance2020","CAB2020","oneoffeffects2020","structuralbalance2020","population","potentialoutput2007e100"
"1","AUT","1950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","AUT","1955",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","AUT","1960",NA,NA,NA,NA,NA,NA,NA,NA,NA,76.8953,NA,NA,NA,NA,NA,NA,NA,NA,7047.539,NA
"4","AUT","1961",NA,NA,NA,NA,NA,NA,NA,NA,NA,80.98,NA,NA,NA,NA,NA,NA,NA,NA,7086.299,NA
"5","AUT","1962",NA,NA,NA,NA,NA,NA,NA,NA,NA,82.9215,NA,NA,NA,NA,NA,NA,NA,NA,7129.864,NA
"6","AUT","1963",NA,NA,NA,NA,NA,NA,NA,NA,NA,86.3039,NA,NA,NA,NA,NA,NA,NA,NA,7175.811,NA
"7","AUT","1964",NA,NA,NA,NA,NA,NA,NA,NA,NA,91.5147,NA,NA,NA,NA,NA,NA,NA,NA,7223.801,NA
"8","AUT","1965",NA,NA,NA,NA,NA,NA,NA,NA,NA,94.1302,95.697,-1.6372227,1.170214,NA,NA,NA,NA,NA,7270.889,NA
"9","AUT","1966",NA,NA,NA,NA,NA,NA,NA,NA,NA,99.442,99.943,-0.5013297,1.170214,NA,NA,NA,NA,NA,7322.066,NA
"10","AUT","1967",NA,NA,NA,NA,NA,NA,NA,NA,NA,102.4329,104.2472,-1.7404138,1.170214,NA,NA,NA,NA,NA,7376.998,NA
"11","AUT","1968",NA,NA,NA,NA,NA,NA,NA,NA,NA,107.0141,108.6258,-1.4837531,1.135304,NA,NA,NA,NA,NA,7415.403,NA
"12","AUT","1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,113.7304,113.1957,0.4724368,1.095086,NA,NA,NA,NA,NA,7441.055,NA
"13","AUT","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,121.8313,118.347,2.9441238,1.0398,NA,NA,NA,NA,NA,7467.086,NA
"14","AUT","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,128.0607,124.3549,2.9799716,0.985951,NA,NA,NA,NA,NA,7500.482,NA
"15","AUT","1972",NA,NA,NA,NA,NA,NA,NA,NA,NA,136.0105,131.2459,3.6302481,0.936384,NA,NA,NA,NA,NA,7544.201,NA
"16","AUT","1973",NA,NA,NA,NA,NA,NA,NA,NA,NA,142.6577,138.156,3.2584304,0.902755,NA,NA,NA,NA,NA,7586.115,NA
"17","AUT","1974",NA,NA,NA,NA,NA,NA,NA,NA,NA,148.2838,144.5649,2.5724398,0.900116,NA,NA,NA,NA,NA,7599.038,NA
"18","AUT","1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,147.7466,149.7084,-1.3104611,0.931278,NA,NA,NA,NA,NA,7578.903,NA
"19","AUT","1976",NA,NA,NA,NA,NA,NA,NA,NA,NA,154.5089,154.7083,-0.128871,1.004601,NA,NA,NA,NA,NA,7565.525,NA
"20","AUT","1977",NA,NA,NA,NA,NA,NA,NA,NA,NA,162.3579,159.793,1.6051648,1.124746,NA,NA,NA,NA,NA,7568.43,NA
"21","AUT","1978",NA,NA,NA,NA,NA,NA,NA,NA,NA,162.0159,163.9646,-1.188442,1.288953,NA,NA,NA,NA,NA,7562.305,NA
"22","AUT","1979",NA,NA,NA,NA,NA,NA,NA,NA,NA,170.6946,167.9521,1.6329422,1.492947,NA,NA,NA,NA,NA,7549.425,NA
"23","AUT","1980",NA,NA,NA,NA,NA,NA,NA,NA,NA,173.6502,171.7627,1.0989052,1.740574,NA,NA,NA,NA,NA,7549.433,53.39186576
"24","AUT","1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,173.3996,175.3819,-1.1302592,2.013552,NA,NA,NA,NA,NA,7568.71,54.51688208
"25","AUT","1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,176.8871,178.354,-0.8224486,2.271286,NA,NA,NA,NA,NA,7574.14,55.44074951
"26","AUT","1983",NA,NA,NA,NA,NA,NA,NA,NA,NA,182.1461,181.2693,0.4837058,2.500655,NA,NA,NA,NA,NA,7561.91,56.34696085
"27","AUT","1984",NA,NA,NA,NA,NA,NA,NA,NA,NA,182.2395,184.4403,-1.1932246,2.709974,NA,NA,NA,NA,NA,7561.434,57.33265569
"28","AUT","1985",NA,NA,NA,NA,NA,NA,NA,NA,NA,186.7931,188.1546,-0.7236221,2.889517,NA,NA,NA,NA,NA,7564.985,58.48723353
"29","AUT","1986",NA,NA,NA,NA,NA,NA,NA,NA,NA,191.092,192.1916,-0.5721618,3.036058,NA,NA,NA,NA,NA,7569.794,59.74212159
"30","AUT","1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,193.6854,196.6118,-1.4884096,3.14612,NA,NA,NA,NA,NA,7574.586,61.1161261
"31","AUT","1988",NA,NA,NA,NA,NA,NA,NA,NA,NA,200.069,201.6487,-0.7833577,3.231231,NA,NA,NA,NA,NA,7585.317,62.68182977
"32","AUT","1989",NA,NA,NA,NA,NA,NA,NA,NA,NA,207.8459,207.4044,0.2128374,3.30742,NA,NA,NA,NA,NA,7619.567,64.47097003
"33","AUT","1990",NA,NA,NA,NA,NA,NA,NA,NA,NA,216.8781,213.8844,1.3996693,3.383623,NA,NA,NA,NA,NA,7677.85,66.48525654
"34","AUT","1991",224.3422,NA,NA,NA,NA,NA,NA,NA,NA,224.3422,220.8157,1.5970593,3.458089,NA,NA,NA,NA,NA,7754.89,68.63982816
"35","AUT","1992",229.0389,NA,NA,NA,NA,NA,NA,NA,NA,229.0389,227.3846,0.7275431,3.528649,NA,NA,NA,NA,NA,7840.709,70.68174895
"36","AUT","1993",230.2455,NA,NA,NA,NA,NA,NA,NA,NA,230.2455,233.1279,-1.2363998,3.605553,NA,NA,NA,NA,NA,7905.633,72.46703471
"37","AUT","1994",235.7763,NA,NA,NA,NA,NA,NA,NA,NA,235.7763,238.4824,-1.1347194,3.678326,NA,NA,NA,NA,NA,7936.118,74.13146328
"38","AUT","1995",242.0667,243.5815,-0.6218678,3.859773,-6.1339713,-2.1370968,-5.7789,NA,NA,242.0667,243.626,-0.6400289,3.735155,-6.1339713,-2.1370968,-5.7685,NA,NA,7948.278,75.73033428
"39","AUT","1996",247.7542,249.0818,-0.5330184,4.058536,-4.5036104,-0.5822203,-4.1993,NA,NA,247.7542,249.3075,-0.623065,3.787483,-4.5036104,-0.5822203,-4.1478,NA,NA,7959.017,77.49640972
"40","AUT","1997",252.9412,255.279,-0.9157926,4.100571,-2.5757912,1.0246299,-2.0529,NA,NA,252.9412,255.4153,-0.9686738,3.819475,-2.5757912,1.0246299,-2.0227,NA,NA,7968.041,79.3949991
"41","AUT","1998",262.0001,261.9319,0.0260174,4.190909,-2.6962268,0.8804277,-2.7111,NA,NA,262.0001,262.0166,-0.0063061,3.838403,-2.6962268,0.8804277,-2.6926,NA,NA,7976.789,81.44699131
"42","AUT","1999",271.3177,268.9711,0.8724104,4.14953,-2.5958867,0.8382758,-3.094,NA,NA,271.3177,268.8274,0.9263525,3.855137,-2.5958867,0.8382758,-3.1248,NA,NA,7992.324,83.56410591
"43","AUT","2000",280.4766,276.101,1.5847634,4.179332,-2.4046696,1.1549509,-3.3096,NA,NA,280.4766,275.8399,1.680936,3.905735,-2.4046696,1.1549509,-3.3645,NA,NA,8011.566,85.74391828
"44","AUT","2001",284.0307,282.8207,0.4278421,4.275274,-0.6615755,2.9436833,-0.9059,NA,NA,284.0307,282.5797,0.5134678,3.996448,-0.6615755,2.9436833,-0.9548,NA,NA,8042.293,87.83896277
"45","AUT","2002",288.7216,289.1077,-0.1335295,4.43746,-1.3811749,2.0627188,-1.3049,NA,NA,288.7216,289.0012,-0.0967508,4.126439,-1.3811749,2.0627188,-1.3259,NA,NA,8081.957,89.83506475
"46","AUT","2003",291.4398,295.42,-1.3472976,4.57884,-1.7864255,1.3936754,-1.0171,NA,NA,291.4398,295.4481,-1.3566578,4.277296,-1.7864255,1.3936754,-1.0118,NA,NA,8121.423,91.83906224
"47","AUT","2004",299.4111,301.8991,-0.8241359,4.812386,-4.804986,-1.7988411,-4.3344,NA,NA,299.4111,302.2535,-0.9404074,4.437158,-4.804986,-1.7988411,-4.268,NA,NA,8171.966,93.95449826
"48","AUT","2005",306.1301,308.7777,-0.8574519,4.859435,-2.5083535,0.7139426,-2.0187,NA,NA,306.1301,309.1726,-0.9841036,4.545165,-2.5083535,0.7139426,-1.9464,NA,NA,8227.829,96.10527756
"49","AUT","2006",316.7039,315.3899,0.4166402,4.809325,-2.5354407,0.6002663,-2.7733,NA,NA,316.7039,315.6873,0.3220434,4.602692,-2.5354407,0.6002663,-2.7193,NA,NA,8268.641,98.13035045
"50","AUT","2007",328.5088,321.4851,2.1847524,4.755336,-1.3546086,1.7802965,-2.6021,NA,NA,328.5088,321.702,2.1158634,4.629134,-1.3546086,1.7802965,-2.5628,NA,NA,8295.486,100
"51","AUT","2008",333.3064,327.0464,1.9141108,4.501414,-1.4952653,1.4515769,-2.5882,NA,NA,333.3064,326.7766,1.9982322,4.645227,-1.4952653,1.4515769,-2.6363,NA,NA,8321.496,101.5774226
"52","AUT","2009",320.7588,329.4957,-2.6515773,4.851862,-5.3297097,-2.1872178,-3.8157,NA,NA,320.7588,329.9986,-2.7999328,4.704351,-5.3297097,-2.1872178,-3.7309,NA,NA,8343.323,102.5789706
"53","AUT","2010",326.6515,332.4105,-1.7325226,4.737768,-4.4412772,-1.5478986,-3.452,-0.338,-3.1141,326.6515,332.5526,-1.7745071,4.752083,-4.4412772,-1.5478986,-3.428,-0.338,-3.0901,8363.404,103.372873
"54","AUT","2011",336.1988,335.4482,0.2237723,4.781853,-2.5535628,0.2308461,-2.6813,-0.2015,-2.4798,336.1988,335.5587,0.1907687,4.817144,-2.5535628,0.2308461,-2.6625,-0.2015,-2.461,8391.643,104.3073092
"55","AUT","2012",338.4865,338.4226,0.0188841,4.91099,-2.189058,0.5239115,-2.1998,-0.4237,-1.7762,338.4865,338.6892,-0.0598499,4.900716,-2.189058,0.5239115,-2.1549,-0.4237,-1.7312,8429.991,105.2804148
"56","AUT","2013",338.5728,341.513,-0.8609318,5.078132,-1.9500775,0.651835,-1.4585,-0.4168,-1.0417,338.5728,342.0156,-1.0066074,4.988616,-1.9500775,0.651835,-1.3753,-0.4168,-0.9585,8479.823,106.3144152
"57","AUT","2014",340.8117,344.7794,-1.1507956,5.156507,-2.7291452,-0.291944,-2.072,-1.4618,-0.6102,340.8117,345.2831,-1.2950102,5.056043,-2.7291452,-0.291944,-1.9897,-1.4618,-0.5279,8546.356,107.3301067
"58","AUT","2015",344.2692,349.0627,-1.3732401,5.165975,-1.0099596,1.3222762,-0.2258,-0.2905,0.0646,344.2692,349.3627,-1.4579183,5.09009,-1.0099596,1.3222762,-0.1775,-0.2905,0.113,8642.698,108.5982369
"59","AUT","2016",351.439,353.8708,-0.6871887,5.222664,-1.535915,0.5477978,-1.1435,-0.056,-1.0876,351.439,354.0257,-0.7306442,5.088963,-1.535915,0.5477978,-1.1187,-0.056,-1.0627,8736.668,110.047715
"60","AUT","2017",360.1422,359.4173,0.2016809,5.04703,-0.7438324,1.0876117,-0.859,0,-0.859,360.1422,358.7175,0.3971576,5.03889,-0.8140601,1.0205005,-1.0408,0,-1.0408,8797.566,111.5061454
"61","AUT","2018",368.8568,365.5154,0.9141621,4.856647,0.1977123,1.8188081,-0.3243,-0.007,-0.3173,368.8568,363.5571,1.4577342,4.96506,0.1752318,1.800315,-0.6571,-0.007,-0.6501,8840.521,113.0105191
"62","AUT","2019",374.5676,371.7388,0.7609597,4.704621,0.4275906,1.9111507,-0.0069,0,-0.0069,374.702,368.3496,1.7245628,4.889688,0.7324415,2.1533947,-0.2523,0,-0.2523,8878.433,114.5002518
"63","AUT","2020",379.792,378.216,0.4166725,4.611145,0.2497174,1.6056302,0.0118,0,0.0118,354.0442,372.007,-4.8286255,4.8404,-6.1472219,-4.6958022,-3.3901,0,-3.3901,8921.081,115.6371424
"64","AUT","2021",385.0663,384.6905,0.0976679,4.525912,0.3706688,1.6069665,0.3149,0,0.3149,371.7651,376.5058,-1.2591169,4.754627,-1.8562744,-0.5087939,-1.1373,0,-1.1373,8963.03,117.0355795
"65","BEL","1950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","BEL","1955",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","BEL","1960",NA,NA,NA,NA,NA,NA,NA,NA,NA,96.4997,NA,NA,NA,NA,NA,NA,NA,NA,9153.489,NA
"68","BEL","1961",NA,NA,NA,NA,NA,NA,NA,NA,NA,101.2996,NA,NA,NA,NA,NA,NA,NA,NA,9183.948,NA
"69","BEL","1962",NA,NA,NA,NA,NA,NA,NA,NA,NA,106.5484,NA,NA,NA,NA,NA,NA,NA,NA,9220.578,NA
"70","BEL","1963",NA,NA,NA,NA,NA,NA,NA,NA,NA,111.2409,NA,NA,NA,NA,NA,NA,NA,NA,9289.77,NA
"71","BEL","1964",NA,NA,NA,NA,NA,NA,NA,NA,NA,118.9695,NA,NA,NA,NA,NA,NA,NA,NA,9378.113,NA
"72","BEL","1965",NA,NA,NA,NA,NA,NA,NA,NA,NA,123.2359,123.4493,-0.1728674,1.790215,NA,NA,NA,NA,NA,9463.667,NA
"73","BEL","1966",NA,NA,NA,NA,NA,NA,NA,NA,NA,127.0648,129.7118,-2.0406705,1.790215,NA,NA,NA,NA,NA,9527.807,NA
"74","BEL","1967",NA,NA,NA,NA,NA,NA,NA,NA,NA,131.9807,136.2372,-3.1243528,1.790215,NA,NA,NA,NA,NA,9580.991,NA
"75","BEL","1968",NA,NA,NA,NA,NA,NA,NA,NA,NA,137.4872,142.5511,-3.5522981,1.994159,NA,NA,NA,NA,NA,9618.756,NA
"76","BEL","1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,146.5932,149.1359,-1.7049082,2.155422,NA,NA,NA,NA,NA,9646.032,NA
"77","BEL","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,155.6703,155.8611,-0.1224087,2.341728,NA,NA,NA,NA,NA,9655.549,NA
"78","BEL","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,161.5126,162.5322,-0.6273186,2.549307,NA,NA,NA,NA,NA,9673.162,NA
"79","BEL","1972",NA,NA,NA,NA,NA,NA,NA,NA,NA,170.0011,169.241,0.4491055,2.824971,NA,NA,NA,NA,NA,9711.115,NA
"80","BEL","1973",NA,NA,NA,NA,NA,NA,NA,NA,NA,180.4091,176.1244,2.4328123,3.104102,NA,NA,NA,NA,NA,9741.72,NA
"81","BEL","1974",NA,NA,NA,NA,NA,NA,NA,NA,NA,187.9857,183.1688,2.6297829,3.449124,NA,NA,NA,NA,NA,9772.419,NA
"82","BEL","1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,185.4911,189.8288,-2.2850569,3.987216,NA,NA,NA,NA,NA,9800.7,NA
"83","BEL","1976",NA,NA,NA,NA,NA,NA,NA,NA,NA,195.9764,196.1867,-0.1071935,4.574289,NA,NA,NA,NA,NA,9818.227,NA
"84","BEL","1977",NA,NA,NA,NA,NA,NA,NA,NA,NA,197.2036,201.7236,-2.240723,5.284696,NA,NA,NA,NA,NA,9830.358,NA
"85","BEL","1978",NA,NA,NA,NA,NA,NA,NA,NA,NA,202.8079,206.7274,-1.8960021,6.129654,NA,NA,NA,NA,NA,9839.534,NA
"86","BEL","1979",NA,NA,NA,NA,NA,NA,NA,NA,NA,207.5558,211.2012,-1.7260592,7.016238,NA,NA,NA,NA,NA,9848.382,NA
"87","BEL","1980",NA,NA,NA,NA,NA,NA,NA,NA,NA,216.7797,215.8522,0.4296979,7.858401,NA,NA,NA,NA,NA,9859.242,57.53057872
