,GDPloss,potentialoutputloss,outputgap
Belgium,9.904243769,10.25860491,-0.354361145
Bulgaria,25.9058098,26.30117973,-0.395369929
Czech Republic,16.00618329,16.94367406,-0.937490776
Denmark,10.73856676,10.76387446,-0.025307701
Germany,0.251195522,0.446437202,-0.195241679
Ireland,10.50397622,12.22406819,-1.720091971
Greece,49.94023819,47.55317882,2.38705937
Spain,28.93094356,30.04762257,-1.116679015
France,10.24914313,10.90469026,-0.655547134
Italy,16.90816034,16.77311244,0.135047895
Luxembourg,26.21696379,27.32955106,-1.112587275
Hungary,18.94812377,21.83586163,-2.887737856
Netherlands,5.081408998,5.980686897,-0.899277898
Austria,9.122249535,9.808574194,-0.686324659
Poland,10.3285679,12.51277347,-2.184205569
Portugal,10.20545749,11.70771382,-1.502256326
Romania,20.56621549,20.66371638,-0.09750089
Slovenia,28.34888722,30.61607643,-2.267189215
Finland,27.09092384,27.34129345,-0.2503696
Sweden,4.696860444,4.820346896,-0.123486452
